type,amount,otherPlayer,player,time
Postage,30,Neffbankherb,Neffer,1576282160
Postage,180,Nefferbank,Neffer,1576274977
Postage,30,Horsecack,Neffer,1576273667
Postage,180,Neffer,Neffbankfish,1576325572
Postage,60,Neffbankfish,Neffer,1576326246
Postage,180,Neffbankfish,Neffer,1576326960
Postage,90,Neffbankench,Neffer,1576262975
Repair Bill,9667,Merchant,Neffer,1576347366
Postage,30,Neffbankench,Neffer,1576347444
Postage,30,Neffer,Neffstorage,1576351077
Postage,60,Neffbankench,Neffer,1576360570
Postage,60,Neffstorage,Neffer,1576360824
Postage,30,Nefferbank,Neffbankherb,1576366862
Money Transfer,500000,Neffer,Neffbankench,1576376897
Postage,30,Nefferbank,Neffer,1576418280
Repair Bill,4282,Merchant,Neffer,1576418532
Postage,30,Neffbankfish,Neffer,1576418341
Money Transfer,50000,Neffer,Neffstorage,1576418739
Postage,60,Nefferbank,Neffer,1576431702
Money Transfer,300000,Neffer,Neffstorage,1576432055
Repair Bill,23405,Merchant,Neffer,1576439578
Postage,30,Neffer,Neffstorage,1576432055
Postage,240,Neffer,Neffbankfish,1576449034
Repair Bill,2354,Merchant,Neffer,1576449442
Postage,240,Neffbankfish,Neffer,1576453644
Postage,30,Neffstorage,Confused,1576523242
Postage,30,Nefferbank,Neffer,1576450976
Postage,30,Neffstorage,Neffer,1576450982
Postage,30,Nefferbank,Neffer,1576538159
Postage,60,Neffbankfish,Neffer,1576539039
Money Transfer,120000,Neffer,Nefferbank,1576541399
Postage,30,Neffer,Nefferbank,1576541399
Money Transfer,250000,Neffer,Neffstorage,1576606717
Postage,90,Nefferbank,Neffer,1576608532
Money Transfer,280000,Neffer,Neffstorage,1576625095
Postage,30,Neffer,Neffstorage,1576625095
Repair Bill,1369,Merchant,Neffer,1576626594
Money Transfer,70000,Neffer,Nefferbank,1576666582
Postage,30,Neffer,Nefferbank,1576666582
Postage,30,Nefferbank,Neffer,1576666822
Repair Bill,13960,Merchant,Neffer,1576679752
Postage,30,Nefferbank,Neffer,1576679781
Postage,30,Neffer,Nefferbank,1576682960
Postage,30,Nefferbank,Neffer,1576693458
Money Transfer,880000,Neffer,Neffbankfish,1576712509
Postage,30,Neffer,Neffbankfish,1576712509
Postage,30,Neffer,Nefferbank,1576713305
Postage,30,Neffer,Neffbankfish,1576778996
Repair Bill,12710,Merchant,Neffer,1576789350
Postage,30,Frozbank,Neffer,1576791077
Repair Bill,10234,Merchant,Neffer,1576791093
Money Transfer,60000,Frozbank,Neffer,1576791077
Postage,30,Neffer,Nefferbank,1576801094
Money Transfer,1700000,Neffer,Nefferbank,1576801094
Postage,30,Neffer,Neffbankfish,1576887098
Postage,30,Neffstorage,Neffbankfish,1576926107
Money Transfer,1040000,Neffer,Nefferbank,1576682960
Postage,30,Neffer,Neffbankfish,1576686013
Postage,1380,Nefferbank,Neffstorage,1576940537
Money Transfer,230000,Neffer,Neffbankfish,1576686013
Postage,600,Nefferbank,Confused,1576972844
Money Transfer,700000,Neffer,Nefferbank,1576973192
Postage,180,Neffer,Nefferbank,1576973192
Postage,30,Horsecack,Neffer,1576952573
Postage,90,Neffbankherb,Neffer,1576952513
Postage,30,Neffer,Nefferbank,1576981153
Postage,30,Nefferbank,Neffer,1576668136
Postage,30,Nefferbank,Neffer,1577016055
Postage,60,Neffbankfish,Neffer,1576667145
Postage,30,Nefferbank,Neffer,1577034387
Postage,660,Nefferbank,Neffer,1577035617
Postage,30,Neffbankench,Neffer,1577036606
Postage,60,Confused,Nefferbank,1577040357
Postage,30,Neffbankench,Neffer,1577049947
Repair Bill,4071,Merchant,Neffer,1577056175
Postage,30,Neffbankench,Neffer,1577056521
Postage,90,Nefferbank,Neffer,1577056515
Postage,30,Neffer,Neffbankench,1577057624
Postage,90,Neffbankench,Neffer,1577103720
Postage,390,Nefferbank,Confused,1577117469
Repair Bill,1820,Merchant,Confused,1577117393
Postage,30,Nefferbank,Neffer,1577131543
Postage,90,Confused,Nefferbank,1577132365
