type,amount,otherPlayer,player,time
Money Transfer,900000,Neffbankfish,Neffer,1583710017
Money Transfer,1593823,Horde Auction House,Neffbankench,1589229286
Money Transfer,1788985,Horde Auction House,Neffbankench,1589212992
Money Transfer,350070,Horde Auction House,Neffbankench,1589491425
Money Transfer,1500350,Horde Auction House,Neffbankench,1589526430
Money Transfer,230049,Horde Auction House,Neffbankench,1589665709
Money Transfer,1815861,Horde Auction House,Neffbankench,1589574419
Money Transfer,500000,Marnaa,Neffer,1585481102
Money Transfer,250000,Marnaa,Neffbankherb,1589880452
Money Transfer,500000,Neffer,Confused,1590048620
Money Transfer,500000,Marnaa,Confused,1590048585
Money Transfer,500000,Nefferbank,Thepotman,1590321946
Money Transfer,50000,Confused,Neffbankjc,1590014774
Money Transfer,63414,Horde Auction House,Nefferbank,1590537955
Money Transfer,570726,Horde Auction House,Nefferbank,1590550730
Money Transfer,50000,Elcabra,Confused,1590599752
Money Transfer,500000,Nefferbank,Neffer,1590513144
Money Transfer,126828,Horde Auction House,Nefferbank,1590612995
Money Transfer,5000000,Nefferbank,Neffbankench,1590703829
Money Transfer,400000,Neffer,Nefferbank,1589966474
Money Transfer,2300000,Neffbankherb,Nefferbank,1590740714
Money Transfer,800000,Neffbankench,Marnaa,1590847620
Money Transfer,200000,Neffbankench,Marnaa,1583684294
Money Transfer,300070,Horde Auction House,Neffbankench,1590824519
Money Transfer,929637,Horde Auction House,Neffbankench,1590948511
Money Transfer,357577,Horde Auction House,Neffbankench,1590911839
Money Transfer,131925,Horde Auction House,Marnaa,1590957940
Money Transfer,121521,Horde Auction House,Neffbankench,1590957989
Money Transfer,600000,Neffbankench,Neffer,1582938110
Money Transfer,433857,Horde Auction House,Marnaa,1590999584
Money Transfer,800000,Nefferbank,Neffer,1583955421
Money Transfer,200000,Confused,Jidask,1583784496
Money Transfer,1000000,Marnaa,Neffbankench,1591121917
Money Transfer,1,Horde Auction House,Marnaa,1591041145
Money Transfer,500000,Nefferbank,Marnaa,1584187081
Money Transfer,850000,Nefferbank,Neffer,1583067192
Money Transfer,1500000,Frozbank,Neffer,1581595281
Money Transfer,118817,Horde Auction House,Neffbankench,1591128742
Money Transfer,200000,Neffbankench,Neffer,1581765122
Money Transfer,660962,Horde Auction House,Neffbankench,1591163225
Money Transfer,226800,Horde Auction House,Neffbankench,1591183407
Money Transfer,1000000,Marnaa,Nefferbank,1591290225
Money Transfer,176154,Horde Auction House,Neffbankench,1591196872
Money Transfer,200000,Nefferbank,Neffer,1581765201
Money Transfer,152535,Horde Auction House,Neffbankench,1591295765
Money Transfer,3000000,Neffer,Confused,1581679436
Money Transfer,1000000,Nefferbank,Neffbankench,1591461652
Money Transfer,317994,Horde Auction House,Neffbankench,1591399340
Money Transfer,500000,Nefferbank,Marnaa,1591650469
Money Transfer,1000000,Nefferbank,Marnaa,1591383689
Money Transfer,650000,Neffbankherb,Thepotman,1591732249
Money Transfer,20004,Horde Auction House,Thepotman,1591639979
Money Transfer,190694,Horde Auction House,Neffbankench,1591302103
Money Transfer,800000,Neffbankench,Neffer,1581819221
Money Transfer,1700000,Neffbankench,Neffer,1581629263
Money Transfer,200000,Neffer,Thepotman,1591789059
Money Transfer,1200000,Nefferbank,Neffer,1581446369
Money Transfer,860000,Nefferbank,Neffer,1581330918
Money Transfer,1919530,Neffstorage,Confused,1591800612
Money Transfer,566974,Thepotman,Confused,1591801021
Money Transfer,50000,Nefferbank,Neffer,1580929364
Money Transfer,1280000,Horde Auction House,Neffer,1579446724
Money Transfer,200000,Nefferbank,Neffer,1580572154
Money Transfer,7068,Horde Auction House,Neffbankench,1580412473
Money Transfer,400000,Neffbankherb,Neffer,1580424853
Money Transfer,625850,Confused,Nefferbank,1591818951
